store,item,smape
10,44,11.84138041875576
9,32,11.828120476407635
6,12,11.756096671447786
6,50,11.72382507337243
7,29,11.69504668244798
7,6,11.68916671434524
2,3,11.686956934118495
8,44,11.65424333879377
4,19,11.638165671770595
6,31,11.59550687577324
8,32,11.591444327055736
7,14,11.586520543502001
7,25,11.57908679647966
4,26,11.565917104116947
5,29,11.547986556401488
10,9,11.543933011157478
5,7,11.537922682635385
6,46,11.524775035440605
9,29,11.517466022938956
3,32,11.478552408506395
2,49,11.468639605015202
10,30,11.440949888378464
5,11,11.429759327687105
3,21,11.42672777169515
10,17,11.417143706458994
1,6,11.416168876320505
6,45,11.393059222360122
3,39,11.380054983492977
8,19,11.356639594797254
6,33,11.304697320884928
2,26,11.304257485247673
8,7,11.30268607281441
10,39,11.28891290796205
7,31,11.27474578941507
7,11,11.26781905331893
4,43,11.259713924455536
10,48,11.254167519794807
1,30,11.241248293144142
9,9,11.231934352819092
8,26,11.20907656022855
7,13,11.204766424993467
8,35,11.203867097475667
6,39,11.176674654361824
9,31,11.171340014931346
7,7,11.150725825412378
6,38,11.147401399598984
5,36,11.119183648870628
6,29,11.09388794354207
3,26,11.064966083215744
7,8,11.031087457606185
2,19,11.00882164587676
1,48,11.00413347797718
4,48,10.996672863665985
6,13,10.96421517788063
1,10,10.955970124443128
7,45,10.94709557223056
6,22,10.927926836943408
8,48,10.92014478170056
5,8,10.9139098172507
9,33,10.863102648764082
2,6,10.832490311820177
7,10,10.827853915005486
5,25,10.81672883852906
4,31,10.813960189571546
4,6,10.807101340923337
8,20,10.789607595156703
5,10,10.769714213803699
8,9,10.766693814925969
4,20,10.744366787760605
6,18,10.742255635677063
4,7,10.737292700903929
9,26,10.731709149720734
7,50,10.723867073484675
9,7,10.713814889962439
1,36,10.694012237975564
9,48,10.683426533765038
1,8,10.67243697066959
1,11,10.670648683638483
1,24,10.638669009567932
6,35,10.637419620146478
9,20,10.62028843932133
4,32,10.615945529369995
10,43,10.599795259543624
1,33,10.583003536265544
2,10,10.575705197411198
3,43,10.549532459066885
2,42,10.53534429521028
10,20,10.497270428603391
7,12,10.457801490495658
1,46,10.456194089225813
3,48,10.452931570238468
4,50,10.448949195078121
5,35,10.377342762537243
10,29,10.368841615435667
4,2,10.368810046747374
10,32,10.297991656761662
1,31,10.277100029762806
2,9,10.256672172909132
9,46,10.231651568718608
1,29,10.214717433165713
8,30,10.165534378463372
1,2,10.118553299559368
4,46,10.114864674864538
1,50,10.10958808183948
9,35,10.100124016711897
10,6,10.083883750981169
8,43,10.080929413766063
1,45,10.058295557478656
3,10,10.030760312049434
9,14,10.015311371913695
4,25,10.009518245031925
10,10,9.994333172199424
6,8,9.984197175640896
1,38,9.984043456301654
10,46,9.93198404627265
7,36,9.89654256902178
6,25,9.87887028916026
2,20,9.874919712258025
5,38,9.85274292874594
10,12,9.831400888600292
1,25,9.829294580981996
4,14,9.825530009719838
7,18,9.825458999189378
6,36,9.801767630056874
6,28,9.798304825036755
8,14,9.78782475293838
10,2,9.783795746548869
5,45,9.781252059454419
4,28,9.776538646717277
9,38,9.763152572438665
9,12,9.752022242336047
3,29,9.731023361721613
5,33,9.727989277480848
5,12,9.72012047712296
8,6,9.70852941736622
8,12,9.695737815063897
3,12,9.682976749991491
4,12,9.642858187998955
2,48,9.628257082190235
3,31,9.624241986541492
4,18,9.622702459563804
1,14,9.614110997272189
4,10,9.607498291672272
4,45,9.601119423668322
10,14,9.551077312340645
8,33,9.542762284957671
10,50,9.52539665717186
9,2,9.512812471459037
5,28,9.512763532576132
3,9,9.502808462625199
10,25,9.493203775382321
3,50,9.474065751364593
3,14,9.463177296959037
1,28,9.459727514024134
4,11,9.447405380441836
1,18,9.446948739437223
4,8,9.424002978744982
9,18,9.419885851829678
8,46,9.402065182423227
10,35,9.39976212443422
5,22,9.390723460029776
9,50,9.385819440174215
3,45,9.371333093943722
3,11,9.371303684906348
7,28,9.367236166069299
2,25,9.365423695154227
9,10,9.338824241773901
10,11,9.328077548944682
5,15,9.319776264371518
2,43,9.317533091299426
9,36,9.30126774807558
2,29,9.289694224107624
2,7,9.262597804858183
2,39,9.235133738948774
9,25,9.234265012205576
9,6,9.224116451354762
1,35,9.199777088283492
3,6,9.195564848333165
10,8,9.144369109887416
1,13,9.138545332472003
9,22,9.134647022641612
9,24,9.13077184243431
7,15,9.123749223490737
10,33,9.117477059742992
8,28,9.110706059099522
2,50,9.087167860082307
2,14,9.069649986492513
10,31,9.066598858203509
8,24,9.056876103787038
2,31,9.054727590793775
2,2,9.048395561335898
